tpep_pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount,trip_distance,trip_duration_min
2023-01-01 08:00:00,40.7128,-74.0060,40.7580,-73.9855,15.50,3.2,12.5
2023-01-01 18:30:00,40.7580,-73.9855,40.7900,-73.9500,25.00,5.1,22.0
2023-01-02 02:00:00,40.7900,-73.9500,40.7128,-74.0060,35.00,7.5,18.0
2023-01-02 09:15:00,40.7128,-74.0060,40.7000,-74.0150,8.50,1.2,6.0
2023-01-02 17:45:00,40.7000,-74.0150,40.7580,-73.9855,18.00,4.0,20.0
2023-01-03 10:00:00,40.7580,-73.9855,40.7128,-74.0060,16.00,3.3,13.0
2023-01-03 19:20:00,40.7900,-73.9500,40.7580,-73.9855,22.00,4.9,21.0
2023-01-04 14:30:00,40.7000,-74.0150,40.7900,-73.9500,40.00,8.5,35.0
2023-01-04 22:15:00,40.7128,-74.0060,40.7900,-73.9500,32.00,7.6,20.0
2023-01-05 06:45:00,40.7580,-73.9855,40.7000,-74.0150,19.00,4.1,16.0
